# log(T), log(Lambda)
4.000000000000000000e+00 -2.229350000000000165e+01
4.023629999999999818e+00 -2.251630000000000109e+01
4.041360000000000063e+00 -2.253800000000000026e+01
4.177249999999999908e+00 -2.177720000000000056e+01
4.224520000000000053e+00 -2.171199999999999974e+01
4.265880000000000116e+00 -2.174459999999999837e+01
4.413590000000000124e+00 -2.197830000000000084e+01
4.490400000000000169e+00 -2.201089999999999947e+01
4.549479999999999968e+00 -2.199459999999999837e+01
4.614480000000000359e+00 -2.192930000000000135e+01
4.886260000000000048e+00 -2.143479999999999919e+01
5.016250000000000320e+00 -2.135869999999999891e+01
5.134420000000000428e+00 -2.139669999999999916e+01
5.370750000000000135e+00 -2.133149999999999835e+01
5.435749999999999638e+00 -2.136959999999999837e+01
5.548009999999999664e+00 -2.158699999999999974e+01
5.613000000000000433e+00 -2.162500000000000000e+01
5.707530000000000214e+00 -2.164130000000000109e+01
5.837519999999999598e+00 -2.179889999999999972e+01
5.896600000000000286e+00 -2.183699999999999974e+01
5.973410000000000331e+00 -2.184240000000000137e+01
6.192020000000000302e+00 -2.193479999999999919e+01
6.274740000000000428e+00 -2.202720000000000056e+01
6.570159999999999556e+00 -2.241300000000000026e+01
6.706059999999999910e+00 -2.248910000000000053e+01
6.836039999999999672e+00 -2.252169999999999916e+01
7.054649999999999643e+00 -2.254889999999999972e+01
7.308709999999999596e+00 -2.270110000000000028e+01
7.468239999999999768e+00 -2.272279999999999944e+01
7.893650000000000055e+00 -2.259240000000000137e+01
7.994089999999999918e+00 -2.258149999999999835e+01
