# log(T), log(Lambda)
3.799999999999999822e+00 -2.568179999999999907e+01
4.012500000000000178e+00 -2.261360000000000170e+01
4.150000000000000355e+00 -2.145449999999999946e+01
4.212500000000000355e+00 -2.131820000000000093e+01
4.275000000000000355e+00 -2.140909999999999869e+01
4.362499999999999822e+00 -2.161360000000000170e+01
4.400000000000000355e+00 -2.165909999999999869e+01
4.437500000000000000e+00 -2.163639999999999830e+01
4.762500000000000178e+00 -2.088639999999999830e+01
4.962500000000000355e+00 -2.072729999999999961e+01
5.099999999999999645e+00 -2.079550000000000054e+01
5.224999999999999645e+00 -2.072729999999999961e+01
5.387500000000000178e+00 -2.075000000000000000e+01
5.599999999999999645e+00 -2.145449999999999946e+01
5.724999999999999645e+00 -2.152270000000000039e+01
5.849999999999999645e+00 -2.172729999999999961e+01
6.212500000000000355e+00 -2.184090000000000131e+01
6.512500000000000178e+00 -2.238639999999999830e+01
6.674999999999999822e+00 -2.243179999999999907e+01
6.887500000000000178e+00 -2.240909999999999869e+01
7.337500000000000355e+00 -2.270449999999999946e+01
7.549999999999999822e+00 -2.268179999999999907e+01
8.137499999999999289e+00 -2.247729999999999961e+01
