# log(T), log(Lambda)
1.000000000000000000e+00 -3.000000000000000000e+01
2.391000000000000014e+00 -3.000000000000000000e+01
2.399999999999999911e+00 -2.730900000000000105e+01
2.500000000000000000e+00 -2.675900000000000034e+01
2.600000000000000089e+00 -2.648699999999999832e+01
2.700000000000000178e+00 -2.630099999999999838e+01
2.799999999999999822e+00 -2.614799999999999969e+01
2.899999999999999911e+00 -2.601399999999999935e+01
3.000000000000000000e+00 -2.588200000000000145e+01
3.100000000000000089e+00 -2.577100000000000080e+01
3.200000000000000178e+00 -2.564999999999999858e+01
3.299999999999999822e+00 -2.552499999999999858e+01
3.399999999999999911e+00 -2.540800000000000125e+01
3.500000000000000000e+00 -2.528500000000000014e+01
3.600000000000000089e+00 -2.515599999999999881e+01
3.700000000000000178e+00 -2.505999999999999872e+01
3.799999999999999822e+00 -2.505799999999999983e+01
3.899999999999999911e+00 -2.511499999999999844e+01
4.000000000000000000e+00 -2.480900000000000105e+01
4.099999999999999645e+00 -2.356599999999999895e+01
4.200000000000000178e+00 -2.206099999999999994e+01
4.299999999999999822e+00 -2.186100000000000065e+01
4.400000000000000355e+00 -2.198699999999999832e+01
4.500000000000000000e+00 -2.200199999999999889e+01
4.599999999999999645e+00 -2.192599999999999838e+01
4.700000000000000178e+00 -2.177700000000000102e+01
4.799999999999999822e+00 -2.158399999999999963e+01
4.900000000000000355e+00 -2.139699999999999847e+01
5.000000000000000000e+00 -2.132600000000000051e+01
5.099999999999999645e+00 -2.138700000000000045e+01
5.200000000000000178e+00 -2.140800000000000125e+01
5.299999999999999822e+00 -2.139900000000000091e+01
5.400000000000000355e+00 -2.140899999999999892e+01
5.500000000000000000e+00 -2.162600000000000122e+01
5.599999999999999645e+00 -2.195599999999999952e+01
5.700000000000000178e+00 -2.210900000000000176e+01
5.799999999999999822e+00 -2.228099999999999881e+01
5.900000000000000355e+00 -2.248600000000000065e+01
6.000000000000000000e+00 -2.254700000000000060e+01
6.099999999999999645e+00 -2.254700000000000060e+01
6.200000000000000178e+00 -2.254500000000000171e+01
6.299999999999999822e+00 -2.258299999999999841e+01
6.400000000000000355e+00 -2.263100000000000023e+01
6.500000000000000000e+00 -2.271499999999999986e+01
6.599999999999999645e+00 -2.279899999999999949e+01
6.700000000000000178e+00 -2.285200000000000031e+01
6.799999999999999822e+00 -2.287500000000000000e+01
6.900000000000000355e+00 -2.287399999999999878e+01
7.000000000000000000e+00 -2.286199999999999832e+01
7.099999999999999645e+00 -2.285000000000000142e+01
7.200000000000000178e+00 -2.283599999999999852e+01
7.299999999999999822e+00 -2.281299999999999883e+01
7.400000000000000355e+00 -2.278200000000000003e+01
7.500000000000000000e+00 -2.274500000000000099e+01
7.599999999999999645e+00 -2.270499999999999829e+01
7.700000000000000178e+00 -2.266199999999999903e+01
7.799999999999999822e+00 -2.261599999999999966e+01
7.900000000000000355e+00 -2.257000000000000028e+01
8.000000000000000000e+00 -2.252199999999999847e+01
8.099999999999999645e+00 -2.247200000000000131e+01
8.199999999999999289e+00 -2.242000000000000171e+01
8.300000000000000711e+00 -2.236700000000000088e+01
8.400000000000000355e+00 -2.231099999999999994e+01
8.500000000000000000e+00 -2.225199999999999889e+01
8.599999999999999645e+00 -2.219000000000000128e+01
8.699999999999999289e+00 -2.212399999999999878e+01
8.800000000000000711e+00 -2.205199999999999960e+01
8.900000000000000355e+00 -2.197400000000000020e+01
9.000000000000000000e+00 -2.188800000000000168e+01
9.099999999999999645e+00 -2.179200000000000159e+01
9.199999999999999289e+00 -2.168599999999999994e+01
9.300000000000000711e+00 -2.156899999999999906e+01
9.400000000000000355e+00 -2.144300000000000139e+01
9.500000000000000000e+00 -2.130699999999999861e+01
9.599999999999999645e+00 -2.116600000000000037e+01
9.699999999999999289e+00 -2.101999999999999957e+01
9.800000000000000711e+00 -2.087199999999999989e+01
9.900000000000000355e+00 -2.072500000000000142e+01
