# log(T), log(Lambda)
1.000000000000000000e+00 -3.000000000000000000e+01
2.290999999999999925e+00 -3.000000000000000000e+01
2.299999999999999822e+00 -2.704599999999999937e+01
2.399999999999999911e+00 -2.651999999999999957e+01
2.500000000000000000e+00 -2.624299999999999855e+01
2.600000000000000089e+00 -2.604400000000000048e+01
2.700000000000000178e+00 -2.589000000000000057e+01
2.799999999999999822e+00 -2.576000000000000156e+01
2.899999999999999911e+00 -2.564600000000000080e+01
3.000000000000000000e+00 -2.553999999999999915e+01
3.100000000000000089e+00 -2.545400000000000063e+01
3.200000000000000178e+00 -2.537900000000000134e+01
3.299999999999999822e+00 -2.531800000000000139e+01
3.399999999999999911e+00 -2.525799999999999912e+01
3.500000000000000000e+00 -2.517699999999999960e+01
3.600000000000000089e+00 -2.507499999999999929e+01
3.700000000000000178e+00 -2.499899999999999878e+01
3.799999999999999822e+00 -2.503600000000000136e+01
3.899999999999999911e+00 -2.516199999999999903e+01
4.000000000000000000e+00 -2.494800000000000040e+01
4.099999999999999645e+00 -2.375499999999999901e+01
4.200000000000000178e+00 -2.206200000000000117e+01
4.299999999999999822e+00 -2.184600000000000009e+01
4.400000000000000355e+00 -2.196900000000000119e+01
4.500000000000000000e+00 -2.198699999999999832e+01
4.599999999999999645e+00 -2.191499999999999915e+01
4.700000000000000178e+00 -2.176999999999999957e+01
4.799999999999999822e+00 -2.157900000000000063e+01
4.900000000000000355e+00 -2.139300000000000068e+01
5.000000000000000000e+00 -2.132000000000000028e+01
5.099999999999999645e+00 -2.137900000000000134e+01
5.200000000000000178e+00 -2.139799999999999969e+01
5.299999999999999822e+00 -2.138800000000000168e+01
5.400000000000000355e+00 -2.139399999999999835e+01
5.500000000000000000e+00 -2.158999999999999986e+01
5.599999999999999645e+00 -2.186100000000000065e+01
5.700000000000000178e+00 -2.193599999999999994e+01
5.799999999999999822e+00 -2.196699999999999875e+01
5.900000000000000355e+00 -2.194200000000000017e+01
6.000000000000000000e+00 -2.182900000000000063e+01
6.099999999999999645e+00 -2.168799999999999883e+01
6.200000000000000178e+00 -2.154100000000000037e+01
6.299999999999999822e+00 -2.139199999999999946e+01
6.400000000000000355e+00 -2.123900000000000077e+01
6.500000000000000000e+00 -2.108500000000000085e+01
6.599999999999999645e+00 -2.092899999999999849e+01
6.700000000000000178e+00 -2.077299999999999969e+01
6.799999999999999822e+00 -2.061700000000000088e+01
6.900000000000000355e+00 -2.046199999999999974e+01
7.000000000000000000e+00 -2.030799999999999983e+01
7.099999999999999645e+00 -2.015399999999999991e+01
7.200000000000000178e+00 -2.000199999999999889e+01
7.299999999999999822e+00 -1.984900000000000020e+01
7.400000000000000355e+00 -1.969800000000000040e+01
7.500000000000000000e+00 -1.954599999999999937e+01
7.599999999999999645e+00 -1.939499999999999957e+01
7.700000000000000178e+00 -1.924399999999999977e+01
7.799999999999999822e+00 -1.909400000000000119e+01
7.900000000000000355e+00 -1.894300000000000139e+01
8.000000000000000000e+00 -1.879299999999999926e+01
8.099999999999999645e+00 -1.864199999999999946e+01
8.199999999999999289e+00 -1.849200000000000088e+01
8.300000000000000711e+00 -1.834199999999999875e+01
8.400000000000000355e+00 -1.819200000000000017e+01
8.500000000000000000e+00 -1.804200000000000159e+01
8.599999999999999645e+00 -1.789199999999999946e+01
8.699999999999999289e+00 -1.774200000000000088e+01
8.800000000000000711e+00 -1.759199999999999875e+01
8.900000000000000355e+00 -1.744300000000000139e+01
9.000000000000000000e+00 -1.729299999999999926e+01
9.099999999999999645e+00 -1.714300000000000068e+01
9.199999999999999289e+00 -1.699399999999999977e+01
9.300000000000000711e+00 -1.684499999999999886e+01
9.400000000000000355e+00 -1.669600000000000151e+01
9.500000000000000000e+00 -1.654700000000000060e+01
9.599999999999999645e+00 -1.639799999999999969e+01
9.699999999999999289e+00 -1.625000000000000000e+01
