# log(T), log(Lambda)
3.999989999999999934e+00 -2.288530000000000086e+01
4.058169999999999611e+00 -2.254919999999999902e+01
4.147649999999999615e+00 -2.192229999999999990e+01
4.219240000000000101e+00 -2.171330000000000027e+01
4.299780000000000157e+00 -2.181589999999999918e+01
4.416109999999999758e+00 -2.197579999999999956e+01
4.501120000000000232e+00 -2.200459999999999994e+01
4.621920000000000250e+00 -2.191870000000000118e+01
4.799999999999999822e+00 -2.158367834999999957e+01
5.000000000000000000e+00 -2.132552679000000140e+01
5.299999999999999822e+00 -2.139893144999999919e+01
5.349999999999999645e+00 -2.140349377000000075e+01
5.400000000000000355e+00 -2.140866417999999882e+01
5.450000000000000178e+00 -2.145110499999999831e+01
5.500000000000000000e+00 -2.149729414000000105e+01
5.548099999999999810e+00 -2.158770000000000167e+01
5.610739999999999839e+00 -2.162049999999999983e+01
5.686799999999999855e+00 -2.163700000000000045e+01
5.749439999999999884e+00 -2.168209999999999837e+01
5.847870000000000346e+00 -2.181340000000000146e+01
6.035790000000000433e+00 -2.188319999999999865e+01
6.178969999999999629e+00 -2.196120000000000161e+01
6.371360000000000134e+00 -2.228109999999999857e+01
6.545860000000000234e+00 -2.251079999999999970e+01
6.760629999999999917e+00 -2.258889999999999887e+01
7.011190000000000033e+00 -2.257280000000000086e+01
7.203579999999999650e+00 -2.266310000000000002e+01
7.400450000000000195e+00 -2.274119999999999919e+01
7.655479999999999841e+00 -2.271689999999999898e+01
8.000009999999999621e+00 -2.264750000000000085e+01
1.000000999999999962e+01 -2.164750000000000085e+01
