# log(T), log(Lambda)
3.999899999999999789e+00 -2.330999999999999872e+01
4.200000000000000178e+00 -2.187999999999999901e+01
4.400000000000000355e+00 -2.216000000000000014e+01
4.519999999999999574e+00 -2.219999999999999929e+01
4.660000000000000142e+00 -2.208999999999999986e+01
4.820000000000000284e+00 -2.182999999999999829e+01
4.940000000000000391e+00 -2.166000000000000014e+01
4.990000000000000213e+00 -2.162999999999999901e+01
5.089999999999999858e+00 -2.162000000000000099e+01
5.290000000000000036e+00 -2.150000000000000000e+01
5.379999999999999893e+00 -2.146999999999999886e+01
5.450000000000000178e+00 -2.155000000000000071e+01
5.509999999999999787e+00 -2.176000000000000156e+01
5.570000000000000284e+00 -2.198000000000000043e+01
5.639999999999999680e+00 -2.216000000000000014e+01
5.700000000000000178e+00 -2.219999999999999929e+01
5.769999999999999574e+00 -2.221999999999999886e+01
5.849999999999999645e+00 -2.232999999999999829e+01
5.919999999999999929e+00 -2.251000000000000156e+01
6.030000000000000249e+00 -2.262999999999999901e+01
6.120000000000000107e+00 -2.267000000000000171e+01
6.240000000000000213e+00 -2.267999999999999972e+01
6.349999999999999645e+00 -2.278000000000000114e+01
6.450000000000000178e+00 -2.289999999999999858e+01
6.629999999999999893e+00 -2.298999999999999844e+01
6.780000000000000249e+00 -2.301999999999999957e+01
7.000000000000000000e+00 -2.298999999999999844e+01
7.160000000000000142e+00 -2.296999999999999886e+01
7.450000000000000178e+00 -2.289999999999999858e+01
7.650000000000000355e+00 -2.282999999999999829e+01
7.929999999999999716e+00 -2.271000000000000085e+01
8.339999999999999858e+00 -2.253000000000000114e+01
8.490000000000000213e+00 -2.246999999999999886e+01
1.000999999999999979e+01 -2.164000000000000057e+01
