ID	ndens	temp	phi	nedens	heat	cool
1	1.00000e-04	3.16228e+03	1.000e+00	4.41000e-05	1.46440e-30	7.42170e-34
2	3.16228e-04	3.16228e+03	1.000e+00	1.01000e-04	4.22700e-30	5.49910e-33
3	1.00000e-03	3.16228e+03	1.000e+00	2.22000e-04	1.22540e-29	4.82730e-32
4	3.16228e-03	3.16228e+03	1.000e+00	4.64000e-04	3.55870e-29	5.38070e-31
5	1.00000e-02	3.16228e+03	1.000e+00	9.34000e-04	1.02540e-28	7.08650e-30
6	3.16228e-02	3.16228e+03	1.000e+00	1.83000e-03	2.90610e-28	9.74480e-29
7	1.00000e-01	3.16228e+03	1.000e+00	3.49000e-03	8.07870e-28	1.28810e-27
8	3.16228e-01	3.16228e+03	1.000e+00	6.54000e-03	2.20800e-27	1.56650e-26
9	1.00000e+00	3.16228e+03	1.000e+00	1.20000e-02	5.96090e-27	1.72570e-25
10	3.16228e+00	3.16228e+03	1.000e+00	2.14000e-02	1.59690e-26	1.73800e-24
11	1.00000e+01	3.16228e+03	1.000e+00	3.67000e-02	4.26090e-26	1.63830e-23
12	3.16228e+01	3.16228e+03	1.000e+00	5.95000e-02	1.13570e-25	1.45910e-22
13	1.00000e+02	3.16228e+03	1.000e+00	8.97000e-02	3.03300e-25	1.20850e-21
14	3.16228e+02	3.16228e+03	1.000e+00	1.23000e-01	8.10880e-25	8.61560e-21
15	1.00000e+03	3.16228e+03	1.000e+00	1.47000e-01	2.14710e-24	4.43800e-20
16	3.16228e+03	3.16228e+03	1.000e+00	1.59000e-01	6.35000e-24	1.99460e-19
17	1.00000e+04	3.16228e+03	1.000e+00	2.09000e-01	1.98870e-23	1.09970e-18
18	3.16228e+04	3.16228e+03	1.000e+00	5.90000e-01	6.28270e-23	4.18950e-18
19	1.00000e+05	3.16228e+03	1.000e+00	2.17000e+00	1.98870e-22	2.15350e-17
20	3.16228e+05	3.16228e+03	1.000e+00	4.61000e+00	6.27560e-22	1.60100e-16
21	1.00000e+06	3.16228e+03	1.000e+00	7.68000e+00	1.97280e-21	1.22860e-15
22	3.16228e+06	3.16228e+03	1.000e+00	5.48000e+00	6.21090e-21	6.69730e-15
23	1.00000e+07	3.16228e+03	1.000e+00	1.10000e+01	1.98290e-20	3.22880e-14
24	3.16228e+07	3.16228e+03	1.000e+00	2.56000e+01	6.27100e-20	1.14800e-13
25	1.00000e+08	3.16228e+03	1.000e+00	5.74000e+01	1.98350e-19	3.81180e-13
26	3.16228e+08	3.16228e+03	1.000e+00	1.29000e+02	6.27350e-19	1.23510e-12
27	1.00000e+09	3.16228e+03	1.000e+00	2.81000e+02	1.98400e-18	3.96570e-12
28	3.16228e+09	3.16228e+03	1.000e+00	5.93000e+02	6.27440e-18	1.27600e-11
29	1.00000e+10	3.16228e+03	1.000e+00	1.24000e+03	1.98420e-17	4.14420e-11
30	3.16228e+10	3.16228e+03	1.000e+00	2.63000e+03	6.27480e-17	1.36380e-10
31	1.00000e+11	3.16228e+03	1.000e+00	5.87000e+03	1.98430e-16	4.58190e-10
32	3.16228e+11	3.16228e+03	1.000e+00	1.44000e+04	6.27530e-16	1.58840e-09
33	1.00000e+12	3.16228e+03	1.000e+00	3.96000e+04	1.98450e-15	6.04520e-09
34	1.00000e-04	3.16228e+03	1.000e+01	5.38000e-05	1.57140e-30	9.61830e-34
35	3.16228e-04	3.16228e+03	1.000e+01	1.21000e-04	4.46670e-30	6.67780e-33
36	1.00000e-03	3.16228e+03	1.000e+01	2.59000e-04	1.28000e-29	5.38270e-32
37	3.16228e-03	3.16228e+03	1.000e+01	5.32000e-04	3.69880e-29	5.59340e-31
38	1.00000e-02	3.16228e+03	1.000e+01	1.06000e-03	1.06600e-28	7.11500e-30
39	3.16228e-02	3.16228e+03	1.000e+01	2.04000e-03	3.02900e-28	9.66590e-29
40	1.00000e-01	3.16228e+03	1.000e+01	3.87000e-03	8.44540e-28	1.27570e-27
41	3.16228e-01	3.16228e+03	1.000e+01	7.19000e-03	2.31450e-27	1.55840e-26
42	1.00000e+00	3.16228e+03	1.000e+01	1.31000e-02	6.26520e-27	1.72810e-25
43	3.16228e+00	3.16228e+03	1.000e+01	2.33000e-02	1.68360e-26	1.75010e-24
44	1.00000e+01	3.16228e+03	1.000e+01	3.99000e-02	4.51010e-26	1.65660e-23
45	3.16228e+01	3.16228e+03	1.000e+01	6.49000e-02	1.20830e-25	1.48290e-22
46	1.00000e+02	3.16228e+03	1.000e+01	9.83000e-02	3.24510e-25	1.23630e-21
47	3.16228e+02	3.16228e+03	1.000e+01	1.36000e-01	8.73750e-25	8.96950e-21
48	1.00000e+03	3.16228e+03	1.000e+01	1.65000e-01	2.33300e-24	4.74240e-20
49	3.16228e+03	3.16228e+03	1.000e+01	1.81000e-01	6.82980e-24	2.12180e-19
50	1.00000e+04	3.16228e+03	1.000e+01	2.32000e-01	2.13860e-23	1.12810e-18
51	3.16228e+04	3.16228e+03	1.000e+01	6.39000e-01	6.75650e-23	4.27430e-18
52	1.00000e+05	3.16228e+03	1.000e+01	2.35000e+00	2.13840e-22	2.15880e-17
53	3.16228e+05	3.16228e+03	1.000e+01	5.00000e+00	6.74830e-22	1.59640e-16
54	1.00000e+06	3.16228e+03	1.000e+01	8.48000e+00	2.12320e-21	1.22430e-15
55	3.16228e+06	3.16228e+03	1.000e+01	1.15000e+01	6.68180e-21	7.33100e-15
56	1.00000e+07	3.16228e+03	1.000e+01	1.14000e+01	2.13230e-20	3.22720e-14
57	3.16228e+07	3.16228e+03	1.000e+01	2.62000e+01	6.74350e-20	1.14760e-13
58	1.00000e+08	3.16228e+03	1.000e+01	5.87000e+01	2.13300e-19	3.81090e-13
59	3.16228e+08	3.16228e+03	1.000e+01	1.33000e+02	6.74640e-19	1.23490e-12
60	1.00000e+09	3.16228e+03	1.000e+01	2.92000e+02	2.13360e-18	3.96510e-12
61	3.16228e+09	3.16228e+03	1.000e+01	6.19000e+02	6.74740e-18	1.27520e-11
62	1.00000e+10	3.16228e+03	1.000e+01	1.30000e+03	2.13380e-17	4.13790e-11
63	3.16228e+10	3.16228e+03	1.000e+01	2.75000e+03	6.74790e-17	1.36050e-10
64	1.00000e+11	3.16228e+03	1.000e+01	6.08000e+03	2.13390e-16	4.57230e-10
65	3.16228e+11	3.16228e+03	1.000e+01	1.46000e+04	6.74840e-16	1.58860e-09
66	1.00000e+12	3.16228e+03	1.000e+01	4.00000e+04	2.13420e-15	6.05150e-09
67	1.00000e-04	3.16228e+03	1.000e+02	8.55000e-05	1.90110e-30	1.77160e-33
68	3.16228e-04	3.16228e+03	1.000e+02	2.11000e-04	5.53610e-30	1.24940e-32
69	1.00000e-03	3.16228e+03	1.000e+02	4.68000e-04	1.58280e-29	8.29830e-32
70	3.16228e-03	3.16228e+03	1.000e+02	9.63000e-04	4.53870e-29	6.33570e-31
71	1.00000e-02	3.16228e+03	1.000e+02	1.88000e-03	1.31840e-28	6.56290e-30
72	3.16228e-02	3.16228e+03	1.000e+02	3.56000e-03	3.83620e-28	8.42690e-29
