t	r	v	Eb	Tb	Pb	R1	n0	nmax	fabs	fabs_i	fabs_n	Mshell	Mcloud	Mcluster	Qi	Lbol	Li	Ln	Lw	Fram
3.003941e-03	7.1698e-01	1.3697e+02	4.7452e+06	1.4645e+07	2.1762e+06	2.7823e-01	4.8994e+05	2.5911e+08	9.9942e-01	1.0000e+00	9.9868e-01	2.9464e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
3.100481e-03	7.3003e-01	1.3513e+02	4.8949e+06	1.4550e+07	2.1243e+06	2.8161e-01	4.7825e+05	2.5230e+08	9.9952e-01	1.0000e+00	9.9891e-01	3.1102e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
3.197020e-03	7.4291e-01	1.3338e+02	5.0442e+06	1.4462e+07	2.0751e+06	2.8493e-01	4.6717e+05	2.4587e+08	9.9957e-01	1.0000e+00	9.9901e-01	3.2777e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
3.423634e-03	7.7269e-01	1.2945e+02	5.3941e+06	1.4274e+07	1.9678e+06	2.9259e-01	4.4302e+05	2.3197e+08	9.9968e-01	1.0000e+00	9.9926e-01	3.6879e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
3.650249e-03	8.0162e-01	1.2589e+02	5.7428e+06	1.4115e+07	1.8724e+06	2.9995e-01	4.2156e+05	2.1967e+08	9.9973e-01	1.0000e+00	9.9939e-01	4.1179e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
3.876863e-03	8.2978e-01	1.2265e+02	6.0901e+06	1.3975e+07	1.7871e+06	3.0703e-01	4.0233e+05	2.0875e+08	9.9980e-01	1.0000e+00	9.9955e-01	4.5673e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
4.149989e-03	8.6279e-01	1.1908e+02	6.5071e+06	1.3824e+07	1.6952e+06	3.1524e-01	3.8164e+05	1.9707e+08	9.9985e-01	1.0000e+00	9.9966e-01	5.1343e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
4.423114e-03	8.9487e-01	1.1585e+02	6.9223e+06	1.3686e+07	1.6134e+06	3.2313e-01	3.6323e+05	1.8672e+08	9.9989e-01	1.0000e+00	9.9975e-01	5.7286e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
4.696239e-03	9.2611e-01	1.1290e+02	7.3357e+06	1.3561e+07	1.5400e+06	3.3074e-01	3.4671e+05	1.7751e+08	9.9992e-01	1.0000e+00	9.9981e-01	6.3498e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
5.029817e-03	9.6322e-01	1.0962e+02	7.8382e+06	1.3419e+07	1.4599e+06	3.3969e-01	3.2869e+05	1.6752e+08	9.9994e-01	1.0000e+00	9.9987e-01	7.1441e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
5.363395e-03	9.9929e-01	1.0663e+02	8.3380e+06	1.3289e+07	1.3887e+06	3.4830e-01	3.1264e+05	1.5868e+08	9.9996e-01	1.0000e+00	9.9991e-01	7.9771e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
5.696972e-03	1.0344e+00	1.0391e+02	8.8352e+06	1.3169e+07	1.3247e+06	3.5660e-01	2.9825e+05	1.5080e+08	9.9997e-01	1.0000e+00	9.9994e-01	8.8479e+02	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
6.313180e-03	1.0970e+00	9.9424e+01	9.7468e+06	1.2966e+07	1.2223e+06	3.7125e-01	2.7518e+05	1.3825e+08	9.9998e-01	1.0000e+00	9.9997e-01	1.0555e+03	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
6.929387e-03	1.1571e+00	9.5532e+01	1.0650e+07	1.2786e+07	1.1359e+06	3.8510e-01	2.5574e+05	1.2778e+08	9.9999e-01	1.0000e+00	9.9998e-01	1.2385e+03	8.0000e+05	2.0000e+05	1.0790e+52	6.9027e+41	3.8727e+41	3.0300e+41	2.4437e+39	1.3367e+31
