Density [log10(n)],Radius [log10(r)]
-4.000000e+00,4.000000e+00
-1.000000e+00,4.000000e+00
-9.884826e-01,4.000000e+00
-9.769653e-01,4.000000e+00
-9.654479e-01,4.000000e+00
-9.539306e-01,4.000000e+00
-9.424132e-01,4.000000e+00
-9.308959e-01,4.000000e+00
-9.193785e-01,4.000000e+00
-9.078612e-01,4.000000e+00
-8.963438e-01,4.000000e+00
-8.848264e-01,4.000000e+00
-8.733091e-01,4.000000e+00
-8.617917e-01,4.000000e+00
-8.502744e-01,4.000000e+00
-8.387570e-01,4.000000e+00
-8.272397e-01,4.000000e+00
-8.157223e-01,4.000000e+00
-8.042050e-01,4.000000e+00
-7.926876e-01,4.000000e+00
-7.811703e-01,4.000000e+00
-7.696529e-01,4.000000e+00
-7.581355e-01,4.000000e+00
-7.466182e-01,4.000000e+00
-7.351008e-01,4.000000e+00
-7.235835e-01,4.000000e+00
-7.120661e-01,4.000000e+00
-7.005488e-01,4.000000e+00
-6.890314e-01,4.000000e+00
-6.775141e-01,4.000000e+00
-6.659967e-01,4.000000e+00
-6.544793e-01,4.000000e+00
-6.429620e-01,4.000000e+00
-6.314446e-01,4.000000e+00
-6.199273e-01,4.000000e+00
-6.084099e-01,4.000000e+00
-5.968926e-01,4.000000e+00
-5.853752e-01,4.000000e+00
-5.738579e-01,4.000000e+00
-5.623405e-01,4.000000e+00
-5.508231e-01,4.000000e+00
-5.393058e-01,4.000000e+00
-5.277884e-01,4.000000e+00
-5.162711e-01,4.000000e+00
-5.047537e-01,4.000000e+00
-4.932364e-01,4.000000e+00
-4.817190e-01,4.000000e+00
-4.702017e-01,4.000000e+00
-4.586843e-01,4.000000e+00
-4.471669e-01,4.000000e+00
-4.356496e-01,4.000000e+00
-4.241322e-01,4.000000e+00
-4.126149e-01,4.000000e+00
-4.010975e-01,4.000000e+00
-3.895802e-01,4.000000e+00
-3.780628e-01,4.000000e+00
-3.665455e-01,4.000000e+00
-3.550281e-01,4.000000e+00
-3.435108e-01,4.000000e+00
-3.319934e-01,4.000000e+00
-3.204760e-01,4.000000e+00
-3.089587e-01,4.000000e+00
-2.974413e-01,4.000000e+00
-2.859240e-01,4.000000e+00
-2.744066e-01,4.000000e+00
-2.628893e-01,4.000000e+00
-2.513719e-01,4.000000e+00
-2.398546e-01,4.000000e+00
-2.283372e-01,4.000000e+00
-2.168198e-01,4.000000e+00
-2.053025e-01,4.000000e+00
-1.937851e-01,4.000000e+00
-1.822678e-01,4.000000e+00
-1.707504e-01,4.000000e+00
-1.592331e-01,4.000000e+00
-1.477157e-01,4.000000e+00
-1.361984e-01,4.000000e+00
-1.246810e-01,4.000000e+00
-1.131636e-01,4.000000e+00
-1.016463e-01,4.000000e+00
-9.012894e-02,4.000000e+00
-7.861158e-02,4.000000e+00
-6.709423e-02,4.000000e+00
-5.557687e-02,4.000000e+00
-4.405952e-02,4.000000e+00
-3.254216e-02,4.000000e+00
-2.102481e-02,4.000000e+00
-9.507450e-03,4.000000e+00
2.009905e-03,4.000000e+00
1.352726e-02,4.000000e+00
2.504462e-02,4.000000e+00
3.656197e-02,4.000000e+00
4.807933e-02,4.000000e+00
5.959668e-02,4.000000e+00
7.111404e-02,4.000000e+00
8.263139e-02,4.000000e+00
