Density [log10(n)],Radius [log10(r)]
1.448935e+01,3.000000e+00
1.748935e+01,3.000000e+00
1.750720e+01,3.000000e+00
1.752505e+01,3.000000e+00
1.754290e+01,3.000000e+00
1.756075e+01,3.000000e+00
1.757860e+01,3.000000e+00
1.759646e+01,3.000000e+00
1.761431e+01,3.000000e+00
1.763216e+01,3.000000e+00
1.765001e+01,2.999999e+00
1.766786e+01,2.999999e+00
1.768571e+01,2.999999e+00
1.770356e+01,2.999999e+00
1.772141e+01,2.999999e+00
1.773926e+01,2.999999e+00
1.775711e+01,2.999999e+00
1.777496e+01,2.999999e+00
1.779282e+01,2.999999e+00
1.781067e+01,2.999999e+00
1.782852e+01,2.999999e+00
1.784637e+01,2.999999e+00
1.786422e+01,2.999999e+00
1.788207e+01,2.999998e+00
1.789992e+01,2.999998e+00
1.791777e+01,2.999998e+00
1.793562e+01,2.999998e+00
1.795347e+01,2.999998e+00
1.797132e+01,2.999998e+00
1.798918e+01,2.999998e+00
1.800703e+01,2.999997e+00
1.802488e+01,2.999997e+00
1.804273e+01,2.999997e+00
1.806058e+01,2.999997e+00
1.807843e+01,2.999996e+00
1.809628e+01,2.999996e+00
1.811413e+01,2.999996e+00
1.813198e+01,2.999995e+00
1.814983e+01,2.999995e+00
1.816768e+01,2.999994e+00
1.818553e+01,2.999994e+00
1.820339e+01,2.999993e+00
1.822124e+01,2.999993e+00
1.823909e+01,2.999992e+00
1.825694e+01,2.999991e+00
1.827479e+01,2.999991e+00
1.829264e+01,2.999990e+00
1.831049e+01,2.999989e+00
1.832834e+01,2.999988e+00
1.834619e+01,2.999987e+00
1.836404e+01,2.999986e+00
1.838189e+01,2.999985e+00
1.839975e+01,2.999983e+00
1.841760e+01,2.999982e+00
1.843545e+01,2.999981e+00
1.845330e+01,2.999979e+00
1.847115e+01,2.999977e+00
1.848900e+01,2.999975e+00
1.850685e+01,2.999973e+00
1.852470e+01,2.999971e+00
1.854255e+01,2.999968e+00
1.856040e+01,2.999965e+00
1.857825e+01,2.999962e+00
1.859611e+01,2.999959e+00
1.861396e+01,2.999956e+00
1.863181e+01,2.999952e+00
1.864966e+01,2.999948e+00
1.866751e+01,2.999943e+00
1.868536e+01,2.999938e+00
1.870321e+01,2.999933e+00
1.872106e+01,2.999927e+00
1.873891e+01,2.999921e+00
1.875676e+01,2.999914e+00
1.877461e+01,2.999907e+00
1.879246e+01,2.999899e+00
1.881032e+01,2.999890e+00
1.882817e+01,2.999881e+00
1.884602e+01,2.999871e+00
1.886387e+01,2.999860e+00
1.888172e+01,2.999848e+00
1.889957e+01,2.999835e+00
1.891742e+01,2.999821e+00
1.893527e+01,2.999805e+00
1.895312e+01,2.999789e+00
1.897097e+01,2.999770e+00
1.898882e+01,2.999751e+00
1.900668e+01,2.999729e+00
1.902453e+01,2.999706e+00
1.904238e+01,2.999681e+00
1.906023e+01,2.999654e+00
1.907808e+01,2.999624e+00
1.909593e+01,2.999592e+00
1.911378e+01,2.999557e+00
1.913163e+01,2.999519e+00
1.914948e+01,2.999478e+00
1.916733e+01,2.999433e+00
1.918518e+01,2.999385e+00
1.920303e+01,2.999332e+00
1.922089e+01,2.999275e+00
